customer_id,date,month,quarter,year,country,operator,service,plan,device_type,network_type,age_group,gender,revenue,arpu,data_usage_gb,call_minutes,sms_count,is_active,is_churned,churn_reason,activation_date,tenure_months,payment_method,support_tickets,satisfaction_score,satisfaction_level,nps_score,data_speed_mbps,network_uptime_pct,roaming_revenue,international_calls_min,loyalty_points,promotions_used,referrals_made,monthly_recharge_count,avg_recharge_amount,complaints,resolution_time_hrs,first_call_resolution,region,city_tier,is_postpaid,credit_score,lifetime_value,risk_score
CUST0899434,2025-10-04,2025-10,Q4,2025,India,SpeedTel,Broadband,Unlimited,Tablet,5G,65+,Female,26.99,24.34,18.8,83,393,True,False,None,2025-07-27,2,Mobile Money,0,3.5,Satisfied,92,22.8,99.53,0,0,3066,1,3,15,1.8,1,39.1,True,South Asia,2,False,0,50.68,0.342
CUST0851856,2024-02-03,2024-02,Q1,2024,Pakistan,SwiftNet,Mobile,Basic,Router,4G,65+,Male,6.88,6.6,8.87,233,249,True,False,None,2022-03-28,22,Credit Card,0,1.5,Dissatisfied,-28,79.1,99.42,18.88,0,2351,1,2,5,1.38,0,0,True,South Asia,1,False,0,173.17,0.56
CUST0517924,2024-11-05,2024-11,Q4,2024,UAE,GlobalCom,Lifestyle,Basic,Tablet,4G,35-44,Male,7.03,6.93,3.91,1445,165,True,False,None,2022-05-21,29,Mobile Money,0,1.0,Very Dissatisfied,-47,13.7,99.08,0,0,3937,3,0,5,1.41,0,0,True,Middle East,2,False,0,194.57,0.933
CUST0052264,2024-10-12,2024-10,Q4,2024,India,SpeedTel,Lifestyle,Unlimited,Tablet,4G,55-64,Female,32.03,31.72,77.4,883,48,True,False,None,2023-11-30,10,Credit Card,0,3.1,Satisfied,29,18.3,97.74,0,0,3668,5,3,15,2.14,0,0,True,South Asia,2,False,0,305.6,0.979
CUST0824825,2025-04-20,2025-04,Q2,2025,KSA,MobiTe,Enterprise,Unlimited,IoT Device,5G,18-24,Male,46.44,49.31,6.69,902,306,False,True,Customer Service,2023-07-15,21,Crypto,3,3.7,Satisfied,100,14.1,98.6,0,0,1740,1,3,5,9.29,0,0,True,Middle East,1,False,0,929.06,0.992
CUST0050877,2025-01-22,2025-01,Q1,2025,Iraq,ConnectPro,Mobile,Premium,Router,5G,18-24,Male,64.66,69.44,12.79,1184,115,True,False,None,2022-12-21,25,Mobile Money,0,2.6,Neutral,-41,15.1,97.77,0,0,4910,4,1,3,21.55,0,0,True,Middle East,2,True,447,1532.89,0.739
CUST0717462,2025-08-04,2025-08,Q3,2025,India,GlobalCom,Enterprise,Basic,Smartphone,5G,25-34,Female,7.01,6.84,1.47,406,264,True,False,None,2021-07-09,49,Cash,0,2.0,Dissatisfied,-83,3.6,97.84,0,0,911,2,0,2,3.5,2,51.5,False,South Asia,1,True,475,398.18,0.088
CUST0480349,2026-03-10,2026-03,Q1,2026,Iraq,MobiTe,Enterprise,Pay-As-You-Go,Tablet,4G,25-34,Female,7.0,7.51,114.27,75,24,True,False,None,2022-03-29,48,Credit Card,0,1.5,Dissatisfied,-53,36.7,97.06,0,0,4872,1,0,10,0.7,0,0,True,Middle East,2,False,0,306.08,0.861
CUST0777593,2026-02-16,2026-02,Q1,2026,KSA,MobiTe,Playsen,Enterprise,Laptop,3G,25-34,Male,122.45,121.2,8.58,1205,474,True,False,None,2022-10-24,40,Crypto,0,2.2,Neutral,79,1.9,97.4,0,0,3165,4,3,15,8.16,2,23.9,False,Middle East,3,False,0,5577.26,0.421
CUST0104479,2025-09-17,2025-09,Q3,2025,KSA,MobiTe,Enterprise,Enterprise,Smartphone,2G,18-24,Female,156.51,153.75,15.49,155,161,True,False,None,2023-08-20,25,Crypto,0,3.0,Neutral,-31,5.6,97.96,0,0,1622,0,1,10,15.65,3,29.9,False,Middle East,3,False,0,3745.26,0.811
CUST0488893,2025-12-23,2025-12,Q4,2025,Ethiopia,GlobalCom,Fusions,Standard,Smartphone,5G,18-24,Female,19.15,19.48,22.5,537,262,True,False,None,2025-03-14,9,Bank Transfer,0,3.6,Satisfied,-80,18.4,96.53,0,0,3172,5,1,6,3.19,2,66.1,True,East Africa,1,False,0,168.93,0.762
CUST0310567,2024-08-14,2024-08,Q3,2024,Others,GlobalCom,Broadband,Premium,Smartphone,4G,18-24,Female,58.46,63.95,40.82,915,78,True,False,None,2023-11-09,9,Bank Transfer,0,2.3,Neutral,-28,27.7,98.09,0,0,3684,1,3,7,8.35,1,64.6,False,Global,1,True,777,433.61,0.713
CUST0974399,2025-06-10,2025-06,Q2,2025,Ethiopia,MobiTe,Mobile,Standard,Tablet,5G,55-64,Male,15.86,16.8,18.84,210,212,True,False,None,2021-10-04,44,Crypto,2,1.1,Dissatisfied,69,50.7,97.99,0,117,3989,3,2,12,1.32,2,32.9,False,East Africa,1,True,442,808.16,0.629
CUST0926005,2025-02-22,2025-02,Q1,2025,India,AirTech,Enterprise,Basic,Tablet,3G,55-64,Female,12.17,11.83,32.45,337,119,True,False,None,2023-09-17,17,Bank Transfer,0,2.6,Neutral,-22,3.4,95.33,0,171,1115,5,2,8,1.52,1,3.3,False,South Asia,2,True,439,237.68,0.48
CUST0696340,2024-03-21,2024-03,Q1,2024,Kenya,TeleLink,News,Unlimited,Laptop,4G,55-64,Male,41.64,38.79,7.29,1394,189,True,False,None,2020-07-25,44,Credit Card,0,1.4,Dissatisfied,-85,10.9,95.4,0,0,487,5,3,14,2.97,0,0,True,East Africa,2,True,339,1551.91,0.893
CUST0259189,2025-12-14,2025-12,Q4,2025,India,SwiftNet,Mobile,Pay-As-You-Go,Feature Phone,5G,45-54,Female,16.98,18.36,3.94,320,268,True,False,None,2022-01-26,47,Crypto,0,4.8,Very Satisfied,78,13.3,98.66,0,171,4800,0,0,4,4.25,0,0,True,South Asia,1,False,0,708.1,0.847
CUST0825070,2024-03-05,2024-03,Q1,2024,India,MobiTe,News,Basic,Laptop,2G,35-44,Male,12.06,12.72,5.8,226,326,True,False,None,2023-07-31,7,Credit Card,0,4.9,Very Satisfied,-43,4.1,96.73,0,0,960,5,0,4,3.02,0,0,True,South Asia,1,False,0,87.63,0.883
CUST0846912,2025-03-12,2025-03,Q1,2025,Iraq,TeleLink,Mobile,Enterprise,Feature Phone,5G,65+,Female,111.95,102.16,5.57,1065,198,True,False,None,2023-07-25,19,Mobile Money,2,2.1,Neutral,28,255.9,95.74,31.85,0,4597,1,1,13,8.61,1,41.3,False,Middle East,2,False,0,2139.5,0.573
CUST0034462,2026-01-18,2026-01,Q1,2026,Kenya,MobiTe,Broadband,Pay-As-You-Go,Feature Phone,5G,55-64,Male,16.12,16.5,35.87,158,232,True,False,None,2023-08-09,29,Bank Transfer,0,1.4,Dissatisfied,-95,29.8,96.37,0,0,3123,3,0,8,2.02,1,59.6,True,East Africa,3,True,665,528.0,0.03
CUST0054126,2025-09-24,2025-09,Q3,2025,Iraq,AirTech,Lifestyle,Enterprise,Smartphone,5G,35-44,Male,161.66,147.07,3.59,682,435,True,False,None,2022-10-01,36,Crypto,0,3.9,Satisfied,-69,32.0,95.43,0,0,4416,0,1,14,11.55,1,56.5,False,Middle East,2,False,0,5175.46,0.799
CUST0771685,2025-07-07,2025-07,Q3,2025,Iraq,ConnectPro,Playsen,Unlimited,Feature Phone,4G,65+,Female,33.72,33.3,8.89,597,339,True,False,None,2022-12-14,31,Bank Transfer,3,1.7,Dissatisfied,-27,10.8,97.26,0,0,3577,3,2,14,2.41,0,0,True,Middle East,1,True,689,1069.74,0.327
CUST0568018,2026-03-05,2026-03,Q1,2026,KSA,GlobalCom,Mobile,Standard,Feature Phone,3G,65+,Female,26.93,27.02,1.39,748,358,True,False,None,2022-02-14,49,Crypto,0,3.9,Satisfied,-84,1.7,98.97,0,0,355,5,3,4,6.73,0,0,True,Middle East,2,False,0,1482.67,0.525
